!Title,!Org,Vacancy Button,!Location,Date published,!Date it closes,!Problem area (filters),!Description,!Required degree,!MinimumExperienceLevel,!Role type,!Position,!Salary (display),Org's home page,Org's vacancies page,Org's logo,Highlighted role
"Fellows, AI Safety and Security",Anthropic,https://job-boards.greenhouse.io/anthropic/jobs/5183044008,"San Francisco Bay Area.USA,London.UK,Ontario.Canada,Remote.USA",2026-08-18,1/1/2050,1. AI safety & policy,"* In this fellowship, you'll conduct a 4-month full-time empirical research project on AI safety or security aligned with Anthropic's priorities.
* Work under direct mentorship from Anthropic researchers in areas such as scalable oversight or mechanistic interpretability.
* Produce a public research output such as a paper submission from your empirical project.
* Develop and test approaches to technical problems in AI safety or security using external resources.
* Iterate rapidly on your research ideas based on mentor feedback and research outcomes.",Undergraduate degree or less,Multiple experience levels,"Research, Software engineering, Information security",Fellowship,"$3,850 - $4,300 per week stipend",https://www.anthropic.com/,https://www.anthropic.com/jobs,https://80000hours.org/wp-content/uploads/2024/03/Anthropic.png,
Head of Secure Data Centre Scaling,SL5 Task Force,https://jobs.ashbyhq.com/security-level-5/515d76a8-c6d2-4052-8cff-af541030e33f?embed=js,San Francisco Bay Area.USA,2026-08-18,1/1/2050,1. AI safety & policy,"* In this role, you'll develop roadmaps for building a Security Level 5 datacenter defending AI labs from nation-state threats.
* Create schedules, cost estimates, and sequencing for critical build phases from siting through commissioning.
* Translate SL5 physical security requirements into practical constraints for design and construction teams.
* Coordinate with technical partners on security specifications that cannot be retrofitted after construction.
* Identify and plan long-lead procurement including power systems, cooling, and accelerator deployment.",Undergraduate degree or less,Senior (10+ years experience),"Information security, Engineering",Full-time,"$250,000 - $500,000",https://sl5.org/,https://sl5.org/careers,https://80000hours.org/wp-content/uploads/2026/05/sl5_task_force_logo.png,
Machine Learning Engineer,SL5 Task Force,https://jobs.ashbyhq.com/security-level-5/83b954de-b6f7-46b5-b41d-50edae3e7b46?embed=js,San Francisco Bay Area.USA,2026-08-18,1/1/2050,1. AI safety & policy,"* In this role, you'll design experiments measuring Security Level 5 controls' impact on frontier AI research and engineering.
* Forecast 2028 frontier workloads (training, inference, fine-tuning, interpretability) ensuring security controls maintain productivity.
* Run experiments at feasible scales and interpret results for frontier AI labs.
* Design experiments answering critical questions about security effectiveness over simply producing metrics.
* Work across the ML training stack: multi-node jobs, accelerators, orchestration, storage, and data pipelines.",Undergraduate degree or less,Mid (5-9 years experience),"Research, Software engineering",Full-time,"Base: $200,000 - $350,000",https://sl5.org/,https://sl5.org/careers,https://80000hours.org/wp-content/uploads/2026/05/sl5_task_force_logo.png,
Network Engineer,SL5 Task Force,https://jobs.ashbyhq.com/security-level-5/0439d44e-0f88-495a-8cf1-3e596bc264fa?embed=js,San Francisco Bay Area.USA,2026-08-18,1/1/2050,1. AI safety & policy,"* In this role, you'll design and operate the network fabric for a Security Level 5 datacenter defending frontier AI from nation-state threats.
* Design switch configurations, network segmentation and controlled links between network segments.
* Build egress limiters, gateways and tunnels for secure remote access.
* Own identity and trust services, including PKI, domain services and audit logging.
* Translate security designs into enforced implementations through configuration and verification.",Undergraduate degree or less,Mid (5-9 years experience),Information security,Full-time,"Base: $200,000 - $350,000",https://sl5.org/,https://sl5.org/careers,https://80000hours.org/wp-content/uploads/2026/05/sl5_task_force_logo.png,
"Specialist, Redteaming, Auditing, and Compliance",SL5 Task Force,https://jobs.ashbyhq.com/security-level-5/9dc5920d-96be-4d8b-932e-017f4249a404?embed=js,San Francisco Bay Area.USA,2026-08-18,1/1/2050,1. AI safety & policy,"* In this role, you'll develop auditing protocols ensuring Security Level 5 standards can defend frontier AI against nation-state threats.
* Ensure standardization efforts align with industry auditing norms and established practices.
* Maintain relationships with key industry stakeholders and decision-makers.
* Balance critical security requirements with auditability across system designs.
* Apply security expertise to create robust compliance verification and control methods.",Undergraduate degree or less,Mid (5-9 years experience),"Information security, Legal",Full-time,"$140,000 - $230,000",https://sl5.org/,https://sl5.org/careers,https://80000hours.org/wp-content/uploads/2026/05/sl5_task_force_logo.png,
Standards Researcher,SL5 Task Force,https://jobs.ashbyhq.com/security-level-5/34a29016-033e-4f7a-afc5-6a086975ca46?embed=js,San Francisco Bay Area.USA,2026-08-18,1/1/2050,1. AI safety & policy,"* In this role, you'll research and develop security standards for defending frontier AI labs from nation-state-level threats.
* Research open questions behind individual controls and identify evidence auditors would need.
* Draft control text and maintain it accurately as the standard evolves.
* Support the Standards Lead in stakeholder engagement and document conversation outcomes.
* Synthesise primary sources including NIST guidelines, intelligence directives, and vendor documentation.",Undergraduate degree or less,Junior (1-4 years experience),"Research, Information security",Full-time,"$140,000 - $200,000",https://sl5.org/,https://sl5.org/careers,https://80000hours.org/wp-content/uploads/2026/05/sl5_task_force_logo.png,
"Senior Director, National Security",SL5 Task Force,https://jobs.ashbyhq.com/security-level-5/4ea206b3-09e6-42f7-ba49-0ee8172b448e?embed=js,San Francisco Bay Area.USA,2026-08-18,1/1/2050,1. AI safety & policy,"* In this role, you'll develop and maintain partnerships with US government and national security agencies on Security Level 5 datacenter standards.
* Create custom whitepapers and documentation tailored to specific USG partner needs.
* Facilitate engagement between Bay Area and DC security experts through conferences and workshops.
* Travel to Washington DC to meet with government partners, providing strategic advice on SL5 initiatives and communications.
* Support the CEO during technical briefing trips and key government engagements.",Undergraduate degree or less,Senior (10+ years experience),Policy,Full-time,"$180,000 - $280,000",https://sl5.org/,https://sl5.org/careers,https://80000hours.org/wp-content/uploads/2026/05/sl5_task_force_logo.png,
"Fieldbuilder, Fellowships",SL5 Task Force,https://jobs.ashbyhq.com/security-level-5/4477fd9b-094b-4aae-9d78-52264b99ca90?embed=js,San Francisco Bay Area.USA,2026-08-18,1/1/2050,1. AI safety & policy,"* In this role, you'll lead fieldbuilding programs including the SL5 fellowship program to transition security experts into frontier AI lab roles.
* Coordinate and run workshops, panel discussions and conferences at the SL5 SF space to drive awareness on key security topics.
* Develop a community engagement strategy to establish SL5 SF offices as a hub for leading security specialists.
* Host SL5 events including quarterly Happy Hours and expand your curated invite network.
* Own program content, branding, invites, and network building across fellowship, conference, and community initiatives.",Undergraduate degree or less,"Junior (1-4 years experience),Mid (5-9 years experience)","Strategy, Outreach",Full-time,"$150,000 - $220,000",https://sl5.org/,https://sl5.org/careers,https://80000hours.org/wp-content/uploads/2026/05/sl5_task_force_logo.png,
GenAI Chemical Safety Expert,Alice,https://alice.io/positions/position-24_076,Remote.Global,2026-08-18,1/1/2050,1. AI safety & policy,"* In this role, you will evaluate and strengthen the safety guardrails of Generative AI systems handling chemical information.
* Execute rigorous adversarial red-teaming and comprehensive taxonomy audits to uncover latent model vulnerabilities
* Meticulously scrutinize AI-generated content for toxicological precision, dual-use implications, and clandestine synthesis protocols to deliver high-fidelity, actionable intelligence to safety teams.",Doctoral degree,Mid (5-9 years experience),"Research, Information security",Full-time,"$150,000 - $178,000",https://alice.io/,https://alice.io/careers,https://80000hours.org/wp-content/uploads/2026/01/alice_logo.jpeg,
Science and Technology Policy Fellowship,American Association for the Advancement of Science,https://www.aaas.org/programs/science-technology-policy-fellowships/become-st-policy-fellow,"""Washington, DC metro area.USA""",2026-08-18,1/1/2050,6. Career development: Policy & government,"* In this fellowship, you'll apply scientific expertise to federal policymaking through a yearlong government assignment.
* Complete a professional development program with workshops in policy, leadership, and communication.
* Lead Affinity Groups addressing science policy issues and organise networking events.
* Contribute to Sci on the Fly, a fellow-run blog and podcast.
* Build connections with a network of policy-minded scientists across government, academia, and industry.",Master's degree,"Entry-level,Junior (1-4 years experience)",Policy,Fellowship,"$101,401 - $131,826",https://www.aaas.org,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=0097f8b0-d7fc-4ca4-a65d-8e1424c01e16&ccId=19000101_000001&___=,https://cdn.80000hours.org/wp-content/uploads/2017/06/Tr7rEpWY-150x150.jpg,
Various Operations Roles,GiveWell,https://job-boards.greenhouse.io/givewell/jobs/5378593008,Remote.USA,2026-08-18,7/9/2026,A. Global health & development,"* In these roles, you'll provide critical infrastructure, processes, and support across Operations to enable GiveWell's mission and strategic growth.
* Manage grant administration workflows including contracts, payments, due diligence, and record maintenance.
* Support employee operations including onboarding, payroll, benefits, and international employment compliance.
* Support hiring processes including candidate sourcing, interview coordination, and offer management.
* Build and improve operational systems and tools to enhance efficiency, scalability, and organisational effectiveness.",Undergraduate degree or less,"Entry-level,Junior (1-4 years experience)",Operations,Full-time,"$92,000 - $135,500",https://www.givewell.org,http://www.givewell.org/about/jobs,https://cdn.80000hours.org/wp-content/uploads/2017/03/GiveWell_square.jpg,
"Governance Manager, Frontier AI Safety and Policy",Google DeepMind,https://www.google.com/about/careers/applications/jobs/results/126071026034320070-governance-manager-frontier-ai-safety-and-policy-deepmind?company=DeepMind&page=2,"""Washington, DC metro area.USA"",London.UK",2026-08-18,1/1/2050,1. AI safety & policy,"* In this role, you'll establish and oversee governance frameworks for frontier AI safety, connecting external standards with internal practices.
* Engage with international standards bodies and industry coalitions to establish benchmarks for advanced AI systems.
* Establish protocols for government model evaluations and negotiate incident disclosure frameworks.
* Translate emerging regulatory standards into internal launch and compliance practices.
* Shape external oversight policies by defining auditor criteria and regulatory positions.",Undergraduate degree or less,Mid (5-9 years experience),Strategy,Full-time,"$188,000 - $205,000",https://www.deepmind.com,https://deepmind.com/careers/jobs,https://80000hours.org/wp-content/uploads/2022/12/DeepMind.png,
"Principal Virologist, Responsible Development and Innovation, DeepMind",Google DeepMind,https://www.google.com/about/careers/applications/jobs/results/75555819722023622-principal-virologist-responsible-development-and-innovation-deepmind?company=DeepMind&page=2,"San Francisco Bay Area.USA,""New York, NY.USA"",""Boulder, CO.USA"",""Kirkland, WA.USA"",""Washington, DC metro area.USA""",2026-08-18,1/1/2050,"1. AI safety & policy,2. Biosecurity & pandemic preparedness","* In this role, you will integrate ongoing scientific community insights regarding biological pathogens to ensure Google DeepMind's safety frameworks reflect real-world threat vectors.
* Synthesize, ""roll up,"" and clearly communicate complex technical risk data to stakeholders.
* Shape Google DeepMind’s broader biosecurity mitigation strategies.
* Contribute to embedding biosecurity protocols directly into the model development lifecycle.
* Refine and directly execute advanced biology evaluations to pressure-test frontier AI models against biological threats.",Doctoral degree,Senior (10+ years experience),Strategy,Full-time,"$307,000 - $427,000",https://www.deepmind.com,https://deepmind.com/careers/jobs,https://80000hours.org/wp-content/uploads/2022/12/DeepMind.png,
"Research Intern, Great Power Competition (Fall 2026)",Hudson Institute,https://recruiting.paylocity.com/Recruiting/Jobs/Details/2984301,"""Washington, DC metro area.USA""",2026-08-18,1/1/2050,6. Career development: Policy & government,"* In this role, you'll provide research and administrative support to Senior Fellows on Great Power Competition and China policy issues.
* Gather and analyse data for inclusion in podcasts, op-eds, Senate hearings, and other publications.
* Keep experts updated on current events and assist with research projects and presentations.
* Assist with writing articles, op-eds, reports, and briefing memos.
* Support administrative tasks and public events while engaging with Hudson Institute scholars.",Undergraduate degree or less,Entry-level,"Research, Policy",Internship,Not Found,https://www.hudson.org/,https://www.hudson.org/about/careers-internships,https://80000hours.org/wp-content/uploads/2023/01/Hudson-Institute.png,
"Data Scientist, Cybersecurity",OpenAI,https://openai.com/careers/data-scientist-cybersecurity-us-remote/,"San Francisco Bay Area.USA,""New York, NY.USA"",Remote.USA",2026-08-18,1/1/2050,1. AI safety & policy,"* In this role, you'll define security metrics and evaluation frameworks for AI agents, measuring control effectiveness, behavior patterns, and emerging risks.
* Quantify safeguard effectiveness and operational costs to improve controls and reduce unnecessary friction.
* Build data foundations by improving instrumentation, integrating telemetry, and identifying coverage gaps.
* Develop evaluation systems for security findings to assess accuracy, actionability, and real-world impact.
* Design experiments and analyses to evaluate new models and controls, translating insights into security strategy.",Undergraduate degree or less,Mid (5-9 years experience),"Information security, Strategy",Full-time,"$263,000 - $515,000",https://openai.com/,https://openai.com/careers/search,https://80000hours.org/wp-content/uploads/2022/12/OpenAI.png,
"Intern, Corporate Engagement",The Good Food Institute,https://job-boards.greenhouse.io/thegoodfoodinstitute80/jobs/8716799002,Remote.USA,2026-08-18,31/8/2026,B. Animal welfare,"* In this role, you'll conduct research and develop resources to advance the alternative protein industry through database management and analysis.
* Prospect and maintain company records in GFI's databases, including Salesforce and manufacturing systems.
* Conduct targeted research on companies and identify employees with relevant alternative protein expertise.
* Draft case studies and compile background briefs with talking points for stakeholder meetings.
* Support the Corporate Engagement team with research projects and data maintenance across tracking systems.",Undergraduate degree or less,Entry-level,"Research, Operations",Internship,$20 per hour,https://www.gfi.org,https://www.gfi.org/jobs,https://80000hours.org/wp-content/uploads/2021/05/good-food-institute.png,
Short Industry Fellowships,The Royal Society,https://royalsociety.org/grants-schemes-awards/grants/short-industry-fellowship/,.UK,2026-08-18,7/10/2026,D. Career development: Technical,"* In this 3-12 month fellowship, you'll enable mobility between UK academia and industry on collaborative research projects.
* Initiate collaborative links between academic and industry organisations that may lead to longer-term partnerships.
* Support knowledge exchange in science and technology between sectors.
* Advance your career development through cross-sector experience.
* Establish networks seeding future collaborations between academia and industry.",Doctoral degree,"Entry-level,Junior (1-4 years experience)",Research,Full-time,Not Found,https://royalsociety.org/,https://careers-royalsociety.icims.com/jobs/search?ss=1&hashed=-435622304,https://80000hours.org/wp-content/uploads/2019/09/royal-society.jpg,
"List of Internship Opportunities, U.S. House of Representatives ","US Government, Congress",https://drive.google.com/file/d/1oY6m-bRHG0CwBQmh8W4OXimM6YV6H483/view?usp=sharing,"""Washington, DC metro area.USA""",2026-08-18,1/1/2050,6. Career development: Policy & government,"""You can find internship opportunities working in offices within the United States House of Representatives on page 15 in the following bulletin (which is updated every week). Click ""View Full List"" to go to the listings, or you can [subscribe directly to the bulletin](https://www.house.gov/employment/positions-with-members-and-committees/subscribe-to-the-house-employment-bulletin).""",Undergraduate degree or less,Entry-level,"Policy, Congressional staffer",Internship,Not Found,https://www.usa.gov/,,https://80000hours.org/wp-content/uploads/2023/01/US-Congress.png,
"List of Staff Opportunities, U.S. House of Representatives","US Government, Congress",https://drive.google.com/file/d/1YUhXar8auvOPKYXWyc18was0hldePnS5/view?usp=sharing,"""Washington, DC metro area.USA""",2026-08-18,1/1/2050,6. Career development: Policy & government,"""You can find full-time opportunities working in offices within the United States House of Representatives in the following bulletin (which is updated every week). Click ""View Full List"" to go to the listings, or you can [subscribe directly to the bulletin](https://www.house.gov/employment/positions-with-members-and-committees/subscribe-to-the-house-employment-bulletin).""",Undergraduate degree or less,Multiple experience levels,"Policy, Congressional staffer",Full-time,Not Found,https://www.usa.gov/,,https://80000hours.org/wp-content/uploads/2023/01/US-Congress.png,
"List of Staff Opportunities, U.S. Senate","US Government, Senate",https://www.senate.gov/employment/po/positions.htm,"""Washington, DC metro area.USA""",2026-08-18,1/1/2050,6. Career development: Policy & government,"""You can find opportunities working in offices within the United States Senate via the The Senate Employment Bulletin. This is published as a service to Senate offices choosing to advertise staff vacancies. Click ""View Full List"" to go to the listings.""",Undergraduate degree or less,Multiple experience levels,"Policy, Operations, Research, Congressional staffer",Full-time,Not Found,https://www.senate.gov/,https://www.usajobs.gov/,https://80000hours.org/wp-content/uploads/2020/05/US-senate.png,
"List of Internship Opportunities, U.S. Senate","US Government, Senate",https://www.senate.gov/employment/po/internships.htm,"""Washington, DC metro area.USA""",2026-08-18,1/1/2050,6. Career development: Policy & government,"""You can find internship opportunities working in offices within the United States Senate via the The Senate Internship Opportunities Employment Bulletin. This is published as a service to Senate offices choosing to advertise internship opportunities. Click ""View Full List"" to go to the listings.""",Undergraduate degree or less,Entry-level,"Policy, Operations, Research, Congressional staffer",Internship,Not Found,https://www.senate.gov/,https://www.usajobs.gov/,https://80000hours.org/wp-content/uploads/2020/05/US-senate.png,
Corrigibility Research Fund,Lightcone Infrastructure,https://corrigibilityresearch.org/,Remote.Global,2026-08-17,31/10/2026,1. AI safety & policy,"- Funds research on AI systems that advances understanding of AI corrigibility.
- Typical grants will be around $5k–$35k.
* Aims to fund work that impacts the AIs that actually get built, that does not, in expectation, notably accelerate AI capabilities, and that ideally engages with corrigibility's risks and downsides.",Undergraduate degree or less,Multiple experience levels,Research,Funding,"$5,000 - $35,000 grant",https://www.lightconeinfrastructure.com/index.html,https://www.lightconeinfrastructure.com/index.html,https://80000hours.org/wp-content/uploads/2021/10/lightcone-infrastructure.png,checked
Head of Finance and Business Services,"UK Government, AI Security Institute",https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=b3duZXI9NTA3MDAwMCZzZWFyY2hwYWdlPTEmam9ibGlzdF92aWV3X3ZhYz0yMDA5NDY1JnVzZXJzZWFyY2hjb250ZXh0PTIwNDMyNjYyNyZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3QmcGFnZWNsYXNzPUpvYnMmc2VhcmNoc29ydD1zY29yZSZvd25lcnR5cGU9ZmFpciZyZXFzaWc9MTc4NjcyOTUyNS1iZDUyZWUyZTQwYzUwNGQxMTM1Mzk3MjAzMWFkMmI2MDEwNTRmYjA2,"London.UK,Manchester.UK",2026-08-17,26/8/2026,1. AI safety & policy,"* In this role, you'll lead Finance and Grants functions, building high-performing teams to ensure effective public resource deployment.
* Lead, coach and develop teams, setting clear direction, standards and metrics to foster growth and improvement.
* Set ambitious vision for both functions, establishing service standards and KPIs as a government benchmark.
* Act as senior adviser on financial strategy and resource allocation, supporting leadership decisions.
* Own financial grip and grants delivery, driving process improvement and automation to enhance speed and scalability.",Undergraduate degree or less,Mid (5-9 years experience),"Operations, Management, Finance",Full-time,"£69,675",https://www.aisi.gov.uk/,https://www.civilservicejobs.service.gov.uk/csr/index.cgi,https://80000hours.org/wp-content/uploads/2024/08/ai_safety_institute_aisi_logo.jpeg,checked
"Head of Business Operations, AI Safety Institute","UK Government, AI Security Institute",https://www.civilservicejobs.service.gov.uk/csr/jobs.cgi?vxsys=4&vxvac=476168,"London.UK,Manchester.UK",2026-08-17,26/8/2026,1. AI safety & policy,"* In this role, you'll lead AISI's business operations, managing a workplace technology team and strategic projects.
* Build and empower a high-performing team of engineers and specialists, setting direction and unblocking progress.
* Develop operational strategy, identifying initiatives that reduce friction and enable AISI to operate effectively.
* Lead transformation projects across estates, systems and processes, establishing scope, metrics and outcomes.
* Foster relationships across government to secure sponsorship and drive delivery of complex change.",Undergraduate degree or less,Mid (5-9 years experience),"Operations, Strategy, Management",Full-time,"£69,675",https://www.aisi.gov.uk/,https://www.civilservicejobs.service.gov.uk/csr/index.cgi,https://80000hours.org/wp-content/uploads/2024/08/ai_safety_institute_aisi_logo.jpeg,checked
"Associate Program Officer, Transformative AI Fund",Centre for Effective Altruism,https://www.centreforeffectivealtruism.org/careers?ashby_jid=a14b4d0e-ba00-4bf1-8317-61034ab43d21,Remote.Global,2026-08-17,1/1/2050,1. AI safety & policy,"* In this role, you'll evaluate grant applications for early-stage transformative AI projects and help shape the fund's systems.
* Investigate grant opportunities by assessing theories of change, team strength, and expected impact.
* Source high-quality applications through strategic insights, networks, and outreach to promising organisations.
* Manage grantee relationships and represent the fund professionally to applicants and the AI safety community.
* Improve grantmaking processes and develop tooling to enhance evaluation efficiency.",Undergraduate degree or less,Junior (1-4 years experience),Strategy,Full-time,"$123,079 - $146,595; £74,044 - £88,192",https://www.centreforeffectivealtruism.org,https://www.centreforeffectivealtruism.org/careers/,https://80000hours.org/wp-content/uploads/2025/01/CEA_logo.jpg,checked
"Director, Community Growth",Centre for Effective Altruism,https://www.centreforeffectivealtruism.org/careers?ashby_jid=66494491-ffc9-46fa-bf8c-a9c3833cbd34,Remote.Global,2026-08-17,14/9/2026,5. Building effective altruism,"* In this role, you'll lead CEA's Community Growth Team scaling Events, Groups, Online, and Courses to grow EA talent.
* Build and lead a high-performing team through hiring, developing managers, and allocating resources.
* Shape organizational strategy as part of CEA's Leadership Team and coordinate across functions.
* Define talent growth goals and make strategic decisions on what to grow, change, or stop.
* Drive community growth using a product mindset, balancing user engagement with ecosystem impact.",Undergraduate degree or less,"Mid (5-9 years experience),Senior (10+ years experience)","Strategy, Management",Full-time,"$264,000",https://www.centreforeffectivealtruism.org,https://www.centreforeffectivealtruism.org/careers/,https://80000hours.org/wp-content/uploads/2025/01/CEA_logo.jpg,checked
"AI Standards Coordinator, Interdisciplinary","US Government, National Institute of Standards and Technology",https://www.usajobs.gov/job/880637700,"""Washington, DC metro area.USA""",2026-08-17,31/8/2026,1. AI safety & policy,"* In this role, you'll lead NIST's strategic engagement with standards organisations on AI and machine learning standardisation.
* Identify AI standards projects where NIST expertise can be impactful.
* Craft technical contributions on AI concepts, methods, measurement, and risk management.
* Coordinate recruitment and refinement of AI standards contributions across NIST.
* Serve as NIST's authoritative voice in standardisation forums.
* Our take on this role: We are particularly excited by the work on standardisation of risk management of AI.",Undergraduate degree or less,"Mid (5-9 years experience),Senior (10+ years experience)",Policy,Full-time,"$121,785 - $197,200",https://www.nist.gov/,https://www.usajobs.gov/,https://80000hours.org/wp-content/uploads/2019/06/national-institute-of-standards-and-technology.png,
Marketing Campaign Manager,Amplify,https://docs.google.com/document/d/1AzHnD57JJBJnJekWSlVoOEcjyahJXaLtmHYnzRcTLg8/edit?usp=sharing,Remote.Global,2026-08-17,1/1/2050,5. Building effective altruism,"* In this role, you'll manage marketing campaigns for impact-focused organisations, working directly with clients from brief through execution and optimisation.
* Plan, build and optimise paid campaigns across channels like Meta and LinkedIn.
* Write and edit ad copy, emails, landing pages and social content.
* Monitor campaign performance and produce reports to guide improvements.
* Work directly with clients to understand objectives and identify marketing opportunities.",Undergraduate degree or less,Junior (1-4 years experience),Outreach,Full-time,$20 - $30 per hour,https://merelllystra.notion.site/Amplify-The-Groups-Marketing-Agency-2d4419e71c6e47ba985780e3b65942b7,,https://80000hours.org/wp-content/uploads/2024/08/amplify_logo-e1724931332822.png,
Personal Assistant and Office Administrator,"Cambridge University, Centre for the Study of Existential Risk",https://www.cser.ac.uk/people/join-us/pa-and-office-administrator/,Cambridge.UK,2026-08-17,20/9/2026,4. Macrostrategy,"* In this role, you'll provide PA and office administration support to the Director and senior leadership of CSER.
* Manage office operations and coordinate day-to-day activities to ensure smooth centre functioning.
* Oversee the visitor and affiliate programme, maintaining relationships with external partners.
* Organise internal seminars, events, and manage scheduling for senior staff.
* Handle correspondence, calendar management, and undertake additional administrative duties as needed.",Undergraduate degree or less,Junior (1-4 years experience),Operations,Full-time,Not Found,https://www.cser.ac.uk/,https://www.cser.ac.uk/about-us/careers/,https://80000hours.org/wp-content/uploads/2018/08/CSERlogo.jpg,
"Research Assistant / Research Associate, Technology and National Security Program",Center for a New American Security,https://www.cnas.org/careers/research-assistant-associate-technology-and-national-security-program,"""Washington, DC metro area.USA""",2026-08-17,1/1/2050,1. AI safety & policy,"* In this role, you'll conduct research and analysis on AI sovereignty and emerging technology policy for the Technology and National Security Program.
* Perform in-depth research, literature reviews, and international field research on policy issues.
* Manage project timelines, budgets, and coordinate roundtables, workshops, and events with stakeholders.
* Co-author research papers and reports, and publish op-eds and analyses in external outlets.
* Oversee publication schedules, edit materials, and develop promotion strategies for research.",Undergraduate degree or less,"Entry-level,Junior (1-4 years experience)","Research, Policy",Full-time,Not Found,https://www.cnas.org/,https://www.cnas.org/careers,https://cdn.80000hours.org/wp-content/uploads/2017/10/centre-for-a-new-american-security-150x150.png,
Community Associate,Founders Pledge,https://careers.founderspledge.com/jobs/8213067-community-associate,"""New York, NY.USA""",2026-08-17,14/9/2026,5. Building effective altruism,"* In this role, you'll provide administrative and operational support to the Community team, coordinating events and member relationships while improving systems for a global philanthropic community.
* Manage event logistics including invite sequences, follow-up communications, and attendee tracking.
* Own routine member inquiries and correspondence.
* Monitor news and updates about member companies, flagging relevant developments for outreach opportunities.
* Support cross-team initiatives and lead process improvement projects to enhance team workflows.",Undergraduate degree or less,Junior (1-4 years experience),Operations,Full-time,"Maximum: $80,000",https://www.founderspledge.com/,https://founderspledge.com/careers,https://80000hours.org/wp-content/uploads/2019/06/founders-pledge.png,
Policy Advisor,Control AI,https://jobs.eu.lever.co/controlai/f1906abe-2940-4949-a6a3-151d43b954a6,"""Washington, DC metro area.USA""",2026-08-17,1/1/2050,1. AI safety & policy,"* In this role, you'll brief members of Congress and the broader US government on the national security threat posed by superintelligent AI. 
* Lead outreach to congressional offices, craft targeted messages, and secure meetings with members. 
* Meet and brief congressional staffers, members of Congress, and civil servants on the state of AI, the threat of human extinction posed by superintelligence, and ways the US can lead in advancing solutions.
* Cultivate relationships with stakeholders across the US government.",Undergraduate degree or less,Multiple experience levels,"Policy, Outreach",Full-time,"$90,000 - $160,000",https://controlai.com/,https://jobs.eu.lever.co/controlai,https://80000hours.org/wp-content/uploads/2024/04/control_ai_logo.jpeg,
"Associate, Safety",Faculty,https://faculty.ai/en-gb/job-listing/uk-london/national-security-safety/associate-safety,London.UK,2026-08-17,1/1/2050,1. AI safety & policy,"* In this role, you will scope, build, and deliver impactful AI projects for clients in the industry with a focus on frontier model evaluations and crossover work with customers in the Government & Public Services space.
* Manage individual work streams to support the delivery and implementation of bespoke AI solutions.
* Work side-by-side with stakeholders to understand mission challenges and user needs.
* Conduct open-source analysis to support the development of cutting-edge AI tools.
* Translate complex operational requirements into user stories for delivery and engineering teams.",Undergraduate degree or less,Junior (1-4 years experience),Strategy,Full-time,Not Found,https://faculty.ai/,https://faculty.ai/join-the-team/#ashby_embed,https://80000hours.org/wp-content/uploads/2024/03/faculty_ai_logo.jpeg,
Data Analyst and Researcher,Family Empowerment Media,https://docs.google.com/document/u/3/d/1LzBUmLuIZ7yhZHyi71T__Gwu8z_RaOIHmnCbt8OzRBo/edit?usp=sharing,Remote.Global,2026-08-17,28/8/2026,A. Global health & development,"* In this role, you'll develop analytical models and research that drive FEM's operational and expansion decisions.
* Maintain and update cost-effectiveness models supporting operational decisions and impact reporting.
* Design and conduct analysis on formative research surveys using appropriate sampling strategies.
* Build supply dashboards and conduct geospatial analysis to assess contraceptive access and reach.
* Translate technical findings into clear decision documents for stakeholders, program managers, and funders.",Undergraduate degree or less,Junior (1-4 years experience),Research,Full-time,Not Found,https://www.familyempowermentmedia.org/,https://www.familyempowermentmedia.org/vacancies,https://80000hours.org/wp-content/uploads/2022/05/Family-Empowerment-Media.png,
Member of Technical Staff,Lucid Computing,https://jobs.ashbyhq.com/lucidcomputing/a19cd7c3-6ed2-4659-bf9a-1c27200319d7,"London.UK,San Francisco Bay Area.USA",2026-08-17,1/1/2050,1. AI safety & policy,"* In this role, you'll build verifiable compute infrastructure producing cryptographic evidence about AI hardware operations and integrity.
* Develop cryptographic systems including attestation protocols and proof systems for verification.
* Design security solutions across hardware, GPUs, and trusted execution environments.
* Build distributed systems that collect, store, and serve verification evidence at scale.
* Engineer systems programming in Rust, C++, or Go for security-critical infrastructure.",Undergraduate degree or less,Multiple experience levels,"Software engineering, Information security, Engineering",Full-time,Not Found,https://lucidcomputing.ai/,https://lucidcomputing.ai/careers,https://80000hours.org/wp-content/uploads/2026/07/lucid_computing_logo.jpeg,
Executive Assistant to the Chief Executive Officer,Myrias,https://docs.google.com/document/d/1IixxFavHyxVVv-ZE5pMXE170u6OAcgHAPPviZRZNpKo/edit?usp=sharing,"San Francisco Bay Area.USA,.USA,.China",2026-08-17,1/1/2050,B. Animal welfare,"* In this role, you'll support the CEO across organizational building, funding decisions, and day-to-day operations with high discretion.
* Coordinate investing and grantmaking decisions while preparing for board meetings.
* Manage relationships with founders, funders, and movement leaders.
* Deliver day-to-day administrative and personal support with high responsiveness.
* Balance substantive strategic work with routine administrative tasks in a fast-paced environment.",Undergraduate degree or less,Entry-level,Operations,Full-time,Not Found,https://myrias.org/,https://myrias.org/careers,https://80000hours.org/wp-content/uploads/2026/08/myrias_logo.jpeg,
