name,section,sub_section,full_name,one_sentence_summary,theory_of_change,see_also,orthodox_problems,target_case_text,broad_approach_text,some_names,estimated_ftes,critiques,funded_by,outputs_count
Data filtering,Black-box safety (understand and control current model behaviour),Better data,Black-box safety (understand and control current model behaviour) / Better data / Data filtering,"Builds safety into models from the start by removing harmful or toxic content (like dual-use info) from the pretraining data, rather than relying only on post-training alignment.","By curating the pretraining data, we can prevent the model from learning dangerous capabilities (e.g., dual-use info) or undesirable behaviors (e.g., toxicity) in the first place, making safety more robust and ""tamper-resistant"" than post-training patches.","a:Data_quality_for_alignment, a:Data_poisoning_defense, a:Synthetic_data_for_alignment, a:Capability_removal_unlearning","Goals misgeneralize out of distribution, Value is fragile and hard to specify",average,engineering,"Yanda Chen, Pratyush Maini, Kyle O'Brien, Stephen Casper, Simon Pepin Lehalleur, Jesse Hoogland, Himanshu Beniwal, Sachin Goyal, Mycal Tucker, Dylan Sam",10-50,"[When Bad Data Leads to Good Models](https://arxiv.org/pdf/2505.04741), [Medical large language models are vulnerable to data-poisoning attacks](https://www.nature.com/articles/s41591-024-03445-1)","Anthropic, various academics",4
Hyperstition studies,Black-box safety (understand and control current model behaviour),Better data,Black-box safety (understand and control current model behaviour) / Better data / Hyperstition studies,"Study, steer, and intervene on the following feedback loop: ""we produce stories about how present and future AI systems behave"" → ""these stories become training data for the AI"" → ""these stories shape how AI systems in fact behave"".",Measure the influence of existing AI narratives in the training data → seed and develop more salutary ontologies and self-conceptions for AI models → control and redirect AI models' self-concepts through selectively amplifying certain components of the training data.,"a:Data_filtering, [active inference](https://arxiv.org/abs/2311.10215), LLM whisperers",Value is fragile and hard to specify,average,cognitive,"Alex Turner, [Hyperstition AI](https://www.hyperstitionai.com/), Kyle O'Brien",1-10,,"Unclear, niche",4
Data poisoning defense,Black-box safety (understand and control current model behaviour),Better data,Black-box safety (understand and control current model behaviour) / Better data / Data poisoning defense,Develops methods to detect and prevent malicious or backdoor-inducing samples from being included in the training data.,"By identifying and filtering out malicious training examples, we can prevent attackers from creating hidden backdoors or triggers that would cause aligned models to behave dangerously.","a:Data_filtering, a:Safeguards_inference_time_auxiliaries_, a:Various_Redteams, adversarial robustness","Superintelligence can hack software supervisors, Someone else will deploy unsafe superintelligence first",pessimistic,engineering,"Alexandra Souly, Javier Rando, Ed Chapman, Hanna Foerster, Ilia Shumailov, Yiren Zhao",5-20,"[A small number of samples can poison LLMs of any size](https://arxiv.org/abs/2510.04567), [Reasoning Introduces New Poisoning Attacks Yet Makes Them More Complicated](https://arxiv.org/abs/2509.03405)","Google DeepMind, Anthropic, University of Cambridge, Vector Institute",3
Synthetic data for alignment,Black-box safety (understand and control current model behaviour),Better data,Black-box safety (understand and control current model behaviour) / Better data / Synthetic data for alignment,"Uses AI-generated data (e.g., critiques, preferences, or self-labeled examples) to scale and improve alignment, especially for superhuman models.","We can overcome the bottleneck of human feedback and data by using models to generate vast amounts of high-quality, targeted data for safety, preference tuning, and capability elicitation.","a:Data_quality_for_alignment, a:Data_filtering, scalable oversight, automated alignment research, a:Weak_to_strong_generalization","Goals misgeneralize out of distribution, Superintelligence can fool human supervisors, Value is fragile and hard to specify",average,engineering,"Mianqiu Huang, Xiaoran Liu, Rylan Schaeffer, Nevan Wichers, Aram Ebtekar, Jiaxin Wen, Vishakh Padmakumar, Benjamin Newman",50-150,"[Synthetic Data in AI: Challenges, Applications, and Ethical Implications](https://arxiv.org/abs/2401.01629). Sort of [Demski](https://www.lesswrong.com/posts/nQwbDPgYvAbqAmAud/llms-for-alignment-research-a-safety-priority).","Anthropic, Google DeepMind, OpenAI, Meta AI, various academic groups.",8
Data quality for alignment,Black-box safety (understand and control current model behaviour),Better data,Black-box safety (understand and control current model behaviour) / Better data / Data quality for alignment,"Improves the quality, signal-to-noise ratio, and reliability of human-generated preference and alignment data.","The quality of alignment is heavily dependent on the quality of the data (e.g., human preferences); by improving the ""signal"" from annotators and reducing noise/bias, we will get more robustly aligned models.","a:Synthetic_data_for_alignment, scalable oversight, a:Assistance_games_assistive_agents, a:Model_values_model_preferences","Superintelligence can fool human supervisors, Value is fragile and hard to specify",average,engineering,"Maarten Buyl, Kelsey Kraus, Margaret Kroll, Danqing Shi",20-50,[A Statistical Case Against Empirical Human-AI Alignment](https://arxiv.org/abs/2502.14581),"Anthropic, Google DeepMind, OpenAI, Meta AI, various academic groups",5
Mild optimisation,Black-box safety (understand and control current model behaviour),Goal robustness,Black-box safety (understand and control current model behaviour) / Goal robustness / Mild optimisation,Avoid Goodharting by getting AI to satisfice rather than maximise.,"If we fail to exactly nail down the preferences for a superintelligent agent we die to Goodharting → shift from maximising to satisficing in the agent's utility function → we get a nonzero share of the lightcone as opposed to zero; also, moonshot at this being the recipe for fully aligned AI.",,Value is fragile and hard to specify,mixed,cognitive,,10-50,,Google DeepMind,4
RL safety,Black-box safety (understand and control current model behaviour),Goal robustness,Black-box safety (understand and control current model behaviour) / Goal robustness / RL safety,"Improves the robustness of reinforcement learning agents by addressing core problems in reward learning, goal misgeneralization, and specification gaming.","Standard RL objectives (like maximizing expected value) are brittle and lead to goal misgeneralization or specification gaming; by developing more robust frameworks (like pessimistic RL, minimax regret, or provable inverse reward learning), we can create agents that are safe even when misspecified.","a:Behavior_alignment_theory, a:Assistance_games_assistive_agents, sec:Goal_robustness, sec:Iterative_alignment, a:Mild_optimisation, scalable oversight, [The Theoretical Reward Learning Research Agenda: Introduction and Motivation](https://www.alignmentforum.org/posts/pJ3mDD7LfEwp3s5vG/the-theoretical-reward-learning-research-agenda-introduction)","Goals misgeneralize out of distribution, Value is fragile and hard to specify, Superintelligence can fool human supervisors",pessimistic,engineering,"Joar Skalse, Karim Abdel Sadek, Matthew Farrugia-Roberts, Benjamin Plaut, Fang Wu, Stephen Zhao, Alessandro Abate, Steven Byrnes, Michael Cohen",20-70,"[""The Era of Experience"" has an unsolved technical alignment problem](https://www.lesswrong.com/posts/747f6b8e/the-era-of-experience-has-an-unsolved-technical-alignment-problem), [The Invisible Leash: Why RLVR May or May Not Escape Its Origin](https://arxiv.org/abs/2507.14843)","Google DeepMind, University of Oxford, CMU, Coefficient Giving",11
"Assistance games, assistive agents",Black-box safety (understand and control current model behaviour),Goal robustness,"Black-box safety (understand and control current model behaviour) / Goal robustness / Assistance games, assistive agents","Formalize how AI assistants learn about human preferences given uncertainty and partial observability, and construct environments which better incentivize AIs to learn what we want them to learn.",Understand what kinds of things can go wrong when humans are directly involved in training a model → build tools that make it easier for a model to learn what humans want it to learn.,a:Guaranteed_Safe_AI,"Value is fragile and hard to specify, Humanlike minds/goals are not necessarily safe",varies,engineering / cognitive,"Joar Skalse, Anca Dragan, Caspar Oesterheld, David Krueger, Dylan Hafield-Menell, Stuart Russell",,[nice summary](https://www.lesswrong.com/posts/i5kijcjFJD6bn7dwq/evaluating-the-historical-value-misspecification-argument) of historical problem statements,"Future of Life Institute, Coefficient Giving, Survival and Flourishing Fund, Cooperative AI Foundation, Polaris Ventures",5
Harm reduction for open weights,Black-box safety (understand and control current model behaviour),Goal robustness,Black-box safety (understand and control current model behaviour) / Goal robustness / Harm reduction for open weights,"Develops methods, primarily based on pretraining data intervention, to create tamper-resistant safeguards that prevent open-weight models from being maliciously fine-tuned to remove safety features or exploit dangerous capabilities.","Open-weight models allow adversaries to easily remove post-training safety (like refusal training) via simple fine-tuning; by making safety an intrinsic property of the model's learned knowledge and capabilities (e.g., by ensuring ""deep ignorance"" of dual-use information), the safeguards become far more difficult and expensive to remove.","a:Data_filtering, a:Capability_removal_unlearning, a:Data_poisoning_defense",Someone else will deploy unsafe superintelligence first,average,engineering,"Kyle O'Brien, Stephen Casper, Quentin Anthony, Tomek Korbak, Rishub Tamirisa, Mantas Mazeika, Stella Biderman, Yarin Gal",10-100,,"UK AI Safety Institute (AISI), EleutherAI, Coefficient Giving",5
"The ""Neglected Approaches"" Approach",Black-box safety (understand and control current model behaviour),Goal robustness,"Black-box safety (understand and control current model behaviour) / Goal robustness / The ""Neglected Approaches"" Approach","Agenda-agnostic approaches to identifying good but overlooked empirical alignment ideas, working with theorists who could use engineers, and prototyping them.","Empirical search for ""negative alignment taxes"" (prioritizing methods that simultaneously enhance alignment and capabilities)","sec:Iterative_alignment, automated alignment research, Beijing Key Laboratory of Safe AI and Superalignment, Aligned AI",Someone else will deploy unsafe superintelligence first,average,engineering,"AE Studio, Gunnar Zarncke, Cameron Berg, Michael Vaiana, Judd Rosenblatt, Diogo Schwerz de Lucena",15,[The 'Alignment Bonus' is a Dangerous Mirage](https://www.alignmentforum.org/posts/example-critique-neg-tax),AE Studio,3
Reverse engineering,White-box safety (i.e. Interpretability),,White-box safety (i.e. Interpretability) / Reverse engineering,"Decompose a model into its functional, interacting components (circuits), formally describe what computation those components perform, and validate their causal effects to reverse-engineer the model's internal algorithm.","By gaining a mechanical understanding of how a model works (the ""circuit diagram""), we can predict how models will act in novel situations (generalization), and gain the mechanistic knowledge necessary to safely modify an AI's goals or internal mechanisms, or allow for high-confidence alignment auditing and better feedback to safety researchers.",[ambitious mech interp](https://www.alignmentforum.org/posts/Hy6PX43HGgmfiTaKu/an-ambitious-vision-for-interpretability),"Goals misgeneralize out of distribution, Superintelligence can fool human supervisors",worst-case,cognitivist science,"Lucius Bushnaq, Dan Braun, Lee Sharkey, Aaron Mueller, Atticus Geiger, Sheridan Feucht, David Bau, Yonatan Belinkov, Stefan Heimersheim, Chris Olah, Leo Gao",100-200,"[Interpretability Will Not Reliably Find Deceptive AI](https://www.alignmentforum.org/posts/PwnadG4BFjaER3MGf/interpretability-will-not-reliably-find-deceptive-ai), [A Problem to Solve Before Building a Deception Detector](https://www.lesswrong.com/posts/YXNeA3RyRrrRWS37A/a-problem-to-solve-before-building-a-deception-detector), [MoSSAIC: AI Safety After Mechanism](https://openreview.net/forum?id=n7WYSJ35FU), [The Misguided Quest for Mechanistic AI Interpretability](https://ai-frontiers.org/articles/the-misguided-quest-for-mechanistic-ai-interpretability). [Mechanistic?](https://arxiv.org/abs/2410.09087), [Assessing skeptical views of interpretability research](https://www.youtube.com/watch?v=woo_J0RKcpQ), [Activation space interpretability may be doomed](https://www.lesswrong.com/posts/gYfpPbww3wQRaxAFD/activation-space-interpretability-may-be-doomed), [A Pragmatic Vision for Interpretability](https://www.alignmentforum.org/posts/StENzDcD3kpfGJssR/a-pragmatic-vision-for-interpretability)",,33
Extracting latent knowledge,White-box safety (i.e. Interpretability),,White-box safety (i.e. Interpretability) / Extracting latent knowledge,"Identify and decoding the ""true"" beliefs or knowledge represented inside a model's activations, even when the model's output is deceptive or false.","Powerful models may know things they do not say (e.g. that they are currently being tested). If we can translate this latent knowledge directly from the model's internals, we can supervise them reliably even when they attempt to deceive human evaluators or when the task is too difficult for humans to verify directly.","a:AI_explanations_of_AIs, a:Heuristic_explanations, a:Lie_and_deception_detectors",Superintelligence can fool human supervisors,worst-case,cognitivist science,"Bartosz Cywiński, Emil Ryd, Senthooran Rajamanoharan, Alexander Pan, Lijie Chen, Jacob Steinhardt, Javier Ferrando, Oscar Obeso, Collin Burns, Paul Christiano",20-40,[A Problem to Solve Before Building a Deception Detector](https://www.lesswrong.com/posts/YXNeA3RyRrrRWS37A/a-problem-to-solve-before-building-a-deception-detector),"Open Philanthropy, Anthropic, NSF, various academic grants",9
Lie and deception detectors,White-box safety (i.e. Interpretability),,White-box safety (i.e. Interpretability) / Lie and deception detectors,"Detect when a model is being deceptive or lying by building white- or black-box detectors. Some work below requires intent in their definition, while other work focuses only on whether the model states something it believes to be false, regardless of intent.","Such detectors could flag suspicious behavior during evaluations or deployment, augment training to reduce deception, or audit models pre-deployment. Specific applications include alignment evaluations (e.g. by validating answers to introspective questions), safeguarding evaluations (catching models that ""sandbag"", that is, strategically underperform to pass capability tests), and large-scale deployment monitoring. An honest version of a model could also provide oversight during training or detect cases where a model behaves in ways it understands are unsafe.","a:Reverse_engineering, a:AI_deception_evals, a:Sandbagging_evals",,pessimistic,cognitivist science,"Cadenza, Sam Marks, Rowan Wang, Kieron Kretschmar, Sharan Maiya, Walter Laurito, Chris Cundy, Adam Gleave, Aviel Parrack, Stefan Heimersheim, Carlo Attubato, Joseph Bloom, Jordan Taylor, Alex McKenzie, Urja Pawar, Lewis Smith, Bilal Chughtai, Neel Nanda",10-50,"difficult to determine if behavior is strategic deception or only low level ""reflexive"" actions; Unclear if a model roleplaying a liar has deceptive intent. [How are intentional descriptions (like deception) related to algorithmic ones (like understanding the mechanisms models use)?](https://www.lesswrong.com/posts/YXNeA3RyRrrRWS37A/a-problem-to-solve-before-building-a-deception-detector), [Is This Lie Detector Really Just a Lie Detector? An Investigation of LLM Probe Specificity](https://www.lesswrong.com/posts/5dkhdRMypeuyoXfmb/is-this-lie-detector-really-just-a-lie-detector-an), [Herrmann](https://www.lesswrong.com/posts/bCQbSFrnnAk7CJNpM/still-no-lie-detector-for-llms), [Smith and Chughtai](https://arxiv.org/abs/2511.22662)","Anthropic, Deepmind, UK AISI, Coefficient Giving",11
Model diffing,White-box safety (i.e. Interpretability),,White-box safety (i.e. Interpretability) / Model diffing,"Understand what happens when a model is finetuned, what the ""diff"" between the finetuned and the original model consists in.","By identifying the mechanistic differences between a base model and its fine-tune (e.g., after RLHF), maybe we can verify that safety behaviors are robustly ""internalized"" rather than superficially patched, and detect if dangerous capabilities or deceptive alignment have been introduced without needing to re-analyze the entire model. The diff is also much smaller, since most parameters don't change, which means you can use heavier methods on them.","a:Sparse_Coding, a:Reverse_engineering",Value is fragile and hard to specify,pessimistic,cognitive,"Julian Minder, Clément Dumas, Neel Nanda, Trenton Bricken, Jack Lindsey",10-30,,"various academic groups, Anthropic, Google DeepMind",9
Sparse Coding,White-box safety (i.e. Interpretability),,White-box safety (i.e. Interpretability) / Sparse Coding,"Decompose the polysemantic activations of the residual stream into a sparse linear combination of monosemantic ""features"" which correspond to interpretable concepts.",Get a principled decomposition of an LLM's activation into atomic components → identify deception and other misbehaviors.,"sec:Concept_based_interpretability, a:Reverse_engineering","Value is fragile and hard to specify, Goals misgeneralize out of distribution, Superintelligence can fool human supervisors",average,engineering / cognitive,"Leo Gao, Dan Mossing, Emmanuel Ameisen, Jack Lindsey, Adam Pearce, Thomas Heap, Abhinav Menon, Kenny Peng, Tim Lawson",50-100,"[Sparse Autoencoders Can Interpret Randomly Initialized Transformers](https://arxiv.org/abs/2501.17727), [The Sparse Autoencoders bubble has popped, but they are still promising](https://agarriga.substack.com/p/the-sparse-autoencoders-bubble-has), [Negative Results for SAEs On Downstream Tasks and Deprioritising SAE Research](https://www.alignmentforum.org/posts/4uXCAJNuPKtKBsi28/), [Sparse Autoencoders Trained on the Same Data Learn Different Features](https://arxiv.org/pdf/2501.16615), [Why Not Just Train For Interpretability?](https://www.lesswrong.com/posts/2HbgHwdygH6yeHKKq/why-not-just-train-for-interpretability)","everyone, roughly. Frontier labs, LTFF, Coefficient Giving, etc.",44
Causal Abstractions,White-box safety (i.e. Interpretability),,White-box safety (i.e. Interpretability) / Causal Abstractions,Verify that a neural network implements a specific high-level causal model (like a logical algorithm) by finding a mapping between high-level variables and low-level neural representations.,"By establishing a causal mapping between a black-box neural network and a human-interpretable algorithm, we can check whether the model is using safe reasoning processes and predict its behavior on unseen inputs, rather than relying on behavioural testing alone.","sec:Concept_based_interpretability, a:Reverse_engineering",Goals misgeneralize out of distribution,worst-case,cognitivist science,"Atticus Geiger, Christopher Potts, Thomas Icard, Theodora-Mara Pîslar, Sara Magliacane, Jiuding Sun, Jing Huang",10-30,"[The Misguided Quest for Mechanistic AI Interpretability](https://www.google.com/search?q=https://open.substack.com/pub/aifrontiersmedia/p/the-misguided-quest-for-mechanistic), [Interpretability Will Not Reliably Find Deceptive AI](https://www.lesswrong.com/posts/PwnadG4BFjaER3MGf/interpretability-will-not-reliably-find-deceptive-ai)","Various academic groups, Google DeepMind, Goodfire",3
Data attribution,White-box safety (i.e. Interpretability),,White-box safety (i.e. Interpretability) / Data attribution,"Quantifies the influence of individual training data points on a model's specific behavior or output, allowing researchers to trace model properties (like misalignment, bias, or factual errors) back to their source in the training set.","By attributing harmful, biased, or unaligned behaviors to specific training examples, researchers can audit proprietary models, debug training data, enable effective data deletion/unlearning",a:Data_quality_for_alignment,"Goals misgeneralize out of distribution, Value is fragile and hard to specify",average,behavioural,"Roger Grosse, Philipp Alexander Kreer, Jin Hwa Lee, Matthew Smith, Abhilasha Ravichander, Andrew Wang, Jiacheng Liu, Jiaqi Ma, Junwei Deng, Yijun Pan, Daniel Murfet, Jesse Hoogland",30-60,,Various academic groups,12
Pragmatic interpretability,White-box safety (i.e. Interpretability),,White-box safety (i.e. Interpretability) / Pragmatic interpretability,"Directly tackling concrete, safety-critical problems on the path to AGI by using lightweight interpretability tools (like steering and probing) and empirical feedback from proxy tasks, rather than pursuing complete mechanistic reverse-engineering.","By applying interpretability skills to concrete problems, researchers can rapidly develop monitoring and control tools (e.g., steering vectors or probes) that have immediate, measurable impact on real-world safety issues like detecting hidden goals or emergent misalignment.","a:Reverse_engineering, sec:Concept_based_interpretability","Superintelligence can fool human supervisors, Goals misgeneralize out of distribution",mixed,cognitive,"Lee Sharkey, Dario Amodei, David Chalmers, Been Kim, Neel Nanda, David D. Baek, Lauren Greenspan, Dmitry Vaintrob, Sam Marks, Jacob Pfau",30-60,,"Google DeepMind, Anthropic, various academic groups",3
Other interpretability,White-box safety (i.e. Interpretability),,White-box safety (i.e. Interpretability) / Other interpretability,Interpretability that does not fall well into other categories.,"Explore alternative conceptual frameworks (e.g., agentic, propositional) and physics-inspired methods (e.g., renormalization). Or be ""pragmatic"".","a:Reverse_engineering, sec:Concept_based_interpretability","Superintelligence can fool human supervisors, Goals misgeneralize out of distribution",mixed,engineering / cognitive,"Lee Sharkey, Dario Amodei, David Chalmers, Been Kim, Neel Nanda, David D. Baek, Lauren Greenspan, Dmitry Vaintrob, Sam Marks, Jacob Pfau",30-60,"[The Misguided Quest for Mechanistic AI Interpretability](https://aifrontiersmedia.substack.com/p/the-misguided-quest-for-mechanistic), [Interpretability Will Not Reliably Find Deceptive AI](https://www.lesswrong.com/posts/PwnadG4BFjaER3MGf/interpretability-will-not-reliably-find-deceptive-ai).",,19
Learning dynamics and developmental interpretability,White-box safety (i.e. Interpretability),,White-box safety (i.e. Interpretability) / Learning dynamics and developmental interpretability,"Builds tools for detecting, locating, and interpreting key structural shifts, phase transitions, and emergent phenomena (like grokking or deception) that occur during a model's training and in-context learning phases.","Structures forming in neural networks leave identifiable traces that can be interpreted (e.g., using concepts from Singular Learning Theory); by catching and analyzing these developmental moments, researchers can automate interpretability, predict when dangerous capabilities emerge, and intervene to prevent deceptiveness or misaligned values as early as possible.","a:Reverse_engineering, a:Sparse_Coding, [ICL transience](https://proceedings.mlr.press/v267/singh25c.html)",Goals misgeneralize out of distribution,worst-case,cognitivist science,"Timaeus, Jesse Hoogland, George Wang, Daniel Murfet, Stan van Wingerden, Alexander Gietelink Oldenziel",10-50,"[Vaintrob](https://www.lesswrong.com/posts/M2bs6xCbmc79nwr8j/dmitry-vaintrob-s-shortform#A8Ziwhts35dgqbz52), [Joar Skalse (2023)](https://www.alignmentforum.org/posts/ALJYj4PpkqyseL7kZ/my-criticism-of-singular-learning-theory)","Manifund, Survival and Flourishing Fund, EA Funds",14
Representation structure and geometry,White-box safety (i.e. Interpretability),,White-box safety (i.e. Interpretability) / Representation structure and geometry,What do the representations look like? Does any simple structure underlie the beliefs of all well-trained models? Can we get the semantics from this geometry?,"Get scalable unsupervised methods for finding structure in representations and interpreting them, then using this to e.g. guide training.","sec:Concept_based_interpretability, computational mechanics, feature universality, a:Natural_abstractions, a:Causal_Abstractions","Goals misgeneralize out of distribution, Superintelligence can fool human supervisors",mixed,cognitivist science,"Simplex, Insight + Interaction Lab, Paul Riechers, Adam Shai, Martin Wattenberg, Blake Richards, Mateusz Piotrowski",10-50,,"Various academic groups, Astera Institute, Coefficient Giving",13
Human inductive biases,White-box safety (i.e. Interpretability),,White-box safety (i.e. Interpretability) / Human inductive biases,Discover connections deep learning AI systems have with human brains and human learning processes. Develop an 'alignment moonshot' based on a coherent theory of learning which applies to both humans and AI systems.,"Humans learn trust, honesty, self-maintenance, and corrigibility; if we understand how they do maybe we can get future AI systems to learn them.","active learning, ACS research",Goals misgeneralize out of distribution,pessimistic,cognitive,"Lukas Muttenthaler, Quentin Delfosse",4,,"Google DeepMind, various academic groups",6
Monitoring concepts,White-box safety (i.e. Interpretability),Concept-based interpretability,White-box safety (i.e. Interpretability) / Concept-based interpretability / Monitoring concepts,"Identifies directions or subspaces in a model's latent state that correspond to high-level concepts (like refusal, deception, or planning) and uses them to audit models for misalignment, monitor them at runtime, suppress eval awareness, debug why models are failing, etc.","By mapping internal activations to human-interpretable concepts, we can detect dangerous capabilities or deceptive alignment directly in the mind of the model even if its overt behavior is perfectly safe. Deploy computationally cheap monitors to flag some hidden misalignment in deployed systems.","[Pragmatic interp](https://www.alignmentforum.org/posts/StENzDcD3kpfGJssR/a-pragmatic-vision-for-interpretability), a:Reverse_engineering, a:Sparse_Coding, a:Model_diffing","Value is fragile and hard to specify, Goals misgeneralize out of distribution, A boxed AGI might exfiltrate itself by steganography, spearphishing",pessimistic,cognitive,"Daniel Beaglehole, Adityanarayanan Radhakrishnan, Enric Boix-Adserà, Tom Wollschläger, Anna Soligo, Jack Lindsey, Brian Christian, Ling Hu, Nicholas Goldowsky-Dill, Neel Nanda",50-100,"[Exploring the generalization of LLM truth directions on conversational formats](https://arxiv.org/html/2505.09807v1), [Understanding (Un)Reliability of Steering Vectors in Language Models](https://arxiv.org/abs/2505.22637)","Coefficient Giving, Anthropic, various academic groups",11
Activation engineering,White-box safety (i.e. Interpretability),Concept-based interpretability,White-box safety (i.e. Interpretability) / Concept-based interpretability / Activation engineering,"Programmatically modify internal model activations to steer outputs toward desired behaviors; a lightweight, interpretable supplement to fine-tuning.","Test interpretability theories by intervening on activations; find new insights from interpretable causal interventions on representations. Or: build more stuff to stack on top of finetuning. Slightly encourage the model to be nice, add one more layer of defence to our bundle of partial alignment methods.",a:Sparse_Coding,Value is fragile and hard to specify,average,engineering / cognitive,"Runjin Chen, Andy Arditi, David Krueger, Jan Wehner, Narmeen Oozeer, Reza Bayat, Adam Karvonen, Jiuding Sun, Tim Tian Hua, Helena Casademunt, Jacob Dunefsky, Thomas Marshall",20-100,[Understanding (Un)Reliability of Steering Vectors in Language Models](https://arxiv.org/abs/2505.22637),"Coefficient Giving, Anthropic",15
Guaranteed-Safe AI,Safety by construction,,Safety by construction / Guaranteed-Safe AI,"Have an AI system generate outputs (e.g. code, control systems, or RL policies) which it can quantitatively guarantee comply with a formal safety specification and world model.","Various, including:

i) safe deployment: create a scalable process to get not-fully-trusted AIs to produce highly trusted outputs;

ii) secure containers: create a 'gatekeeper' system that can act as an intermediary between human users and a potentially dangerous system, only letting provably safe actions through.

(Notable for not requiring that we solve ELK; does require that we solve ontology though)","[Towards Guaranteed Safe AI](https://arxiv.org/abs/2405.06624), [Standalone World-Models](https://www.alignmentforum.org/posts/LngR93YwiEpJ3kiWh/research-agenda-synthesizing-standalone-world-models), a:Scientist_AI, Safeguarded AI, a:Asymptotic_guarantees, Open Agency Architecture, SLES, program synthesis, Scalable formal oversight","Value is fragile and hard to specify, Goals misgeneralize out of distribution, Superintelligence can fool human supervisors, Humans cannot be first-class parties to a superintelligent value handshake, A boxed AGI might exfiltrate itself by steganography, spearphishing",worst-case,cognitive / engineering,"ARIA, Lawzero, Atlas Computing, FLF, Max Tegmark, Beneficial AI Foundation, Steve Omohundro, David ""davidad"" Dalrymple, Joar Skalse, Stuart Russell, Alessandro Abate",10-100,"[Zvi](https://thezvi.substack.com/p/ai-28-watching-and-waiting?utm_source=%2Fsearch%2Fomohundro&utm_medium=reader2#:~:text=Max%20Tegmark%20and%20Steve%20Omohundo%20drop%20a%20new%20paper), [Gleave](https://manifund.org//projects/relocating-to-montreal-to-work-full-time-on-ai-safety?tab=comments#aea6521a-c6bb-4c66-9f5f-cf647589cf7e), [Dickson](https://www.lesswrong.com/posts/B2bg677TaS4cmDPzL/limitations-on-formal-verification-for-ai-safety), [Greenblatt](https://www.lesswrong.com/posts/jRf4WENQnhssCb6mJ/davidad-s-bold-plan-for-alignment-an-in-depth-explanation?commentId=MJCvHk5ARMnWDjQDg)","Manifund, ARIA, Coefficient Giving, Survival and Flourishing Fund, Mila / CIFAR",5
Scientist AI,Safety by construction,,Safety by construction / Scientist AI,"Develop powerful, nonagentic, uncertain world models that accelerate scientific progress while avoiding the risks of agent AIs","Developing non-agentic 'Scientist AI' allows us to: (i) reap the benefits of AI progress while (ii) avoiding the inherent risks of agentic systems. These systems can also (iii) provide a useful guardrail to protect us from unsafe agentic AIs by double-checking actions they propose, and (iv) help us more safely build agentic superintelligent systems.","[JEPA](https://arxiv.org/abs/2511.08544), [oracles](https://www.lesswrong.com/w/oracle-ai)","Pivotal processes require dangerous capabilities, Goals misgeneralize out of distribution, Instrumental convergence",pessimistic,cognitivist science,"Yoshua Bengio, Younesse Kaddar",1-10,"Hard to find, but see [Raymond Douglas' comment](https://www.lesswrong.com/posts/p5gBcoQeBsvsMShvT/superintelligent-agents-pose-catastrophic-risks-can?commentId=tJXqhg3XZsqnyaZs2), [Karnofsky-Soares discussion](https://www.lesswrong.com/posts/iy2o4nQj9DnQD7Yhj/discussion-with-nate-soares-on-a-key-alignment-difficulty). Perhaps also [Predict-O-Matic](https://www.lesswrong.com/posts/SwcyMEgLyd4C3Dern/the-parable-of-predict-o-matic).","ARIA, Gates Foundation, Future of Life Institute, Coefficient Giving, Jaan Tallinn, Schmidt Sciences",2
Brainlike-AGI Safety,Safety by construction,,Safety by construction / Brainlike-AGI Safety,"Social and moral instincts are (partly) implemented in particular hardwired brain circuitry; let's figure out what those circuits are and how they work; this will involve symbol grounding. ""a yet-to-be-invented variation on actor-critic model-based reinforcement learning""","Fairly-direct alignment via changing training to reflect actual human reward. Get actual data about (reward, training data) → (human values) to help with theorising this map in AIs; ""understand human social instincts, and then maybe adapt some aspects of those for AGIs, presumably in conjunction with other non-biological ingredients"".",,,worst-case,cognitivist science,Steve Byrnes,1-5,[Tsvi BT](https://www.lesswrong.com/posts/unCG3rhyMJpGJpoLd/koan-divining-alien-datastructures-from-ram-activations#BtHCubjKWDFafkmYH),Astera Institute,6
Weak-to-strong generalization,Make AI solve it,,Make AI solve it / Weak-to-strong generalization,Use weaker models to supervise and provide a feedback signal to stronger models.,Find techniques that do better than RLHF at supervising superior models → track whether these techniques fail as capabilities increase further → keep the stronger systems aligned by amplifying weak oversight and quantifying where it breaks.,"sec:White_box_safety_i_e_Interpretability_, a:Supervising_AIs_improving_AIs",Superintelligence can hack software supervisors,average,engineering,"Joshua Engels, Nora Belrose, David D. Baek",2-20,"[Can we safely automate alignment research?](https://joecarlsmith.substack.com/p/can-we-safely-automate-alignment), [Super(ficial)-alignment: Strong Models May Deceive Weak Models in Weak-to-Strong Generalization](https://arxiv.org/abs/2406.11431)","lab funders, Eleuther funders",4
